Station Name,Code,Line,Service(s),Ridership,Status,Region,CT District,County,City,MPO,RPTA,Address,Latitude,Longitude,Facility Owner,Platform Owner,Track Owner,Setting,Capitol Corridor,San Joaquins,Pacific Surfliner,Caltrain,ACE,SMART,Metrolink,COASTER,Amtrak Long Distance,Tracks,Island Platforms,Side Platforms,Track Crossing,Station ADA Accessibility,Accessible Platform,Shelter Type,Restrooms,Accessible Restrooms,Wifi,ATMs,Food,Real-Time Schedule,Ticket Machines,Staffed,Station Hours,Staffed Hours,Long Term Parking Spaces,Accessible Parking Spaces,Total Parking Spaces,Parking Owner,Class 1,Class 2,Class 3,Other,Total,Planned,Bike Rack Spaces,Bike Locker Spaces,Total Bike Parking,Sidewalks Present,Condition,Crosswalks,Connectivity,Future HSR,Commuter Service,Thruway Bus,Local Rail,Local Bus,Signal Priority/ITS,Link,Fare Transfer,Distance (Ft.) Between Rail Platform/Bus Stop,Population (.5 Miles),Population (1 Miles),Population (3 Miles),Jobs (.5 Miles),Jobs (1 Miles),Jobs (3 Miles),Jobs/Population Ratio (.5 Miles),Jobs/Population Ratio (1 Mile),Jobs/Population Ratio (3 Miles),CalEnviroScreen (Score),CalEnviroScreen (Percentile),Fatalities (Ped),Injuries (Ped),Fatalities (Bike),Injuries (Bike),Score,Category,Score,Category,Primary Land Use(s),TOD,Link,Intersections (1 Mile),Percentile,Intersections (3 Mile),Percentile,Population (1 Mile Catchment),Population (3 Mile Catchment),Jobs (1 Mile Catchment),Jobs (3 Mile Catchment),Population Index (1 Mile Catchment),Population Index (3 Mile Catchment),Jobs Index (1 Mile Catchment),Jobs Index (3 Mile Catchment),Station Website #1,Station Website #2,Station Website #3,Station Website #4,Great American Stations Website,Bike GIS Link,Active Transportation Plan
Capitol (VTA),,VTA,VTA,,Active,,4,Santa Clara,San Jose,Metropolitan Transportation Commission,Metropolitan Transportation Commission,,37.27529305,-121.8632686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,951,,,,,,,,,,,,,,,,,,,,,,,,8236.770212,26806.80201,232568.6016,1589,5823,57712,0.192915422,0.217220987,0.248150437,15.92277414,0.174496644,,,,,55,Somewhat Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Sierra Madre Villa Station,,Metro,Metro,,Active,,7,Los Angeles,Pasadena,Southern California Association of Governments,Southern California Association of Governments,,34.147752,-118.081212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,965,,965,,,,,,,,,,,,,,,,,,,,,,,,4265.654684,14016.0587,154052.1401,9152,14929,72774,2.145508879,1.065135379,0.4723985,22.06197749,0.35738255,,,,,82,Very Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Rancho Cucamonga,,,Metrolink,,Active,,8,San Bernardino,Rancho Cucamonga,Southern California Association of Governments,Southern California Association of Governments,11208 Azusa Court,34.0918,-117.5599,City of Rancho Cucamonga,,,,,,,,,,,,,2,,2,Tunnel,,,Shelter,No,,,,,,Machines Available,,,,960,24,984,,,18.0192899,3.232002254,,21.25129216,11.38408991,Yes,Yes,,Yes,Fair,Yes,Fair,,,,,Yes (Omnitrans),,,,290,1142.943158,4538.39051,105706.604,5393,28807,120339,4.718519871,6.347404424,1.138424616,61.56622026,0.973154362,0,9,3,161,24,Car-Dependent,,,,,,112,#N/A,2217,#N/A,880.5236651,48338.52819,1057,78628,0.194016725,0.457289577,0.036692471,0.653387514,https://metrolinktrains.com/rider-info/general-info/stations/rancho-cucamonga/,,,,,,
Florin,,SacRT,SacRT,,Active,,3,Sacramento,Sacramento,Sacramento Area Council of Governments,Sacramento Area Council of Governments,,38.497828,-121.471567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1076,,1076,SacRT,,,,,,,,,,,,,,,,,,,,,,,4653.425676,21133.59731,177950.7793,971,5452,37057,0.208663481,0.25797785,0.208242977,40.61424533,0.751677852,,,,,52,Somewhat Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Roseville Road,,SacRT,SacRT,,Active,,3,Sacramento,Sacramento,Sacramento Area Council of Governments,Sacramento Area Council of Governments,,38.638056,-121.402222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1087,,1087,SacRT,,,,,,,,,,,,,,,,,,,,,,,957.5797502,8954.406295,119482.2287,803,4662,58109,0.838572453,0.520637533,0.486340108,49.68252618,0.875838926,,,,,13,Car-Dependent,,,,,,,,,,,,,,,,,,,,,,,,
Riverside - La Sierra,,,Metrolink,,Active,,8,Riverside,Riverside,Southern California Association of Governments,Southern California Association of Governments,10901 Indiana Avenue,33.8999,-117.4703,Riverside County Transportation Commission,,,,,,,,,,,,,2,,2,Bridge,,,Shelter,Yes,,,,,,Machines Available,,,,1082,24,1106,,,26.38529202,,,26.38529202,13.43638242,,,,Yes,Good,Yes,Fair,No,,,,"Yes (Riverside Transit Agency, RTA Dial-A-Ride)",,,,800,4532.044976,21796.79945,131014.8229,6009,10659,44287,1.32589152,0.489016749,0.338030454,38.91131699,0.723154362,5,78,3,294,54,Somewhat Walkable,,,,Metro Gateway Apartments,,356,#N/A,2214,#N/A,9667.637097,88155.85451,7219,37117,0.443534709,0.672869318,0.677268036,0.838101474,https://metrolinktrains.com/rider-info/general-info/stations/riverside---la-sierra/,,,,,,
Riverside - Downtown,RIV,"Metrolink, Southwest Chief",Metrolink,,Active,,8,Riverside,Riverside,Southern California Association of Governments,Southern California Association of Governments,4066 Vine Street,33.9757,-117.3699,Riverside County Transportation Commission,,,,,,,,,,,,,6,2,1,Bridge,,,Shelter,Yes,,,,,,Machines Available,,,,1115,25,1140,,,7.8145372,,,7.8145372,15.87318496,Yes,Yes,,Yes,Good,Yes,Good,No,,Yes,,"Yes (Downtown Riverside Metrolink Shuttle, RTA, SunLine Transit Agency Commuter Link)",,,,280,3926.256764,18346.47347,116265.7119,16924,24433,77765,4.310466945,1.331754576,0.668855837,62.1842525,0.979865772,5,176,8,451,65,Somewhat Walkable,,,,,,592,#N/A,2921,#N/A,8218.702446,77602.13773,21272,59075,0.447971784,0.66745506,0.870625793,0.759660516,https://metrolinktrains.com/rider-info/general-info/stations/riverside---downtown/,,,,,,
Santa Teresa,,VTA,VTA,,Active,,4,Santa Clara,San Jose,Metropolitan Transportation Commission,Metropolitan Transportation Commission,,37.23666813,-121.7891409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1155,,,,,,,,,,,,,,,,,,,,,,,,2536.361416,16753.17778,102701.7965,2378,14325,29805,0.937563545,0.85506166,0.29020914,16.76350653,0.211409396,,,,,27,Car-Dependent,,,,,,,,,,,,,,,,,,,,,,,,
Industry,,,Metrolink,,Active,,7,Los Angeles,Industry,Southern California Association of Governments,Southern California Association of Governments,600 South Brea Canyon Road,34.0079,-117.8456,City of Industry,,,,,,,,,,,,,2,,1,N/A,,,Shelter,No,,,,,,Machines Available,,,,1200,8,1208,,,6.720545299,,,6.720545299,12.09862587,,,,Yes,Fair,Yes,Fair,,,,,"Yes (Foothill Transit, Silver Streak)",,,,920,1207.707646,7855.523187,105999.1814,5061,16061,51274,4.19058372,2.044548736,0.483720717,24.83879514,0.431208054,4,26,5,129,54,Somewhat Walkable,,,,,,274,#N/A,2524,#N/A,2507.793403,54657.74912,5298,34780,0.319239514,0.515643125,0.329867381,0.678316496,https://metrolinktrains.com/rider-info/general-info/stations/industry/,,,,,,
Oakland Jack London,OKJ,"CCJPA, SJJPA, Coast Starlight","Capitol Corridor, San Joaquins, Amtrak Long Distance",,Active,,4,Alameda,Oakland,Metropolitan Transportation Commission,Metropolitan Transportation Commission,245 2nd St.,37.793611,-122.271389,Port of Oakland,UPRR,,,Hourly,Bi-hourly,,,,,,,< Bi-hourly,3,1,1,Grade/Bridge,,Yes,Building,Yes,Yes,No,No,,Yes,1 Machine,Yes,6am-10:30am,6am-10:30am,1213,24,1237,City of Oakland/Port of Oakland,3.32017674,7.852011912,9.676888456,,20.84907711,,,12,12,Yes,Good,Yes,Good,No,None,Yes,None,Yes,Maybe? (recommended in report),http://www2.oaklandnet.com/oakca1/groups/ceda/documents/report/oak057697.pdf,"Yes (CC to AC Transit, except Transit Transbay Service)",250,5983.882921,24713.83817,240253.9317,10172,67880,164312,1.699899569,2.746639333,0.683909724,33.55195756,0.630872483,16,590,7,1789,95,Walker's Paradise,,,,,,572,#N/A,4259,#N/A,14035.85443,177133.4771,49065,140118,0.56793503,0.737276081,0.722819682,0.852755733,https://www.capitolcorridor.org/stations/oakland-jack-london/,,,,https://www.greatamericanstations.com/stations/oakland-jack-london-square-ca-okj/,,
Oceanside,OSD,"LOSSAN, Metrolink, Coaster, Sprinter","Pacific Surfliner, Metrolink, Coaster, Sprinter",,Active,,11,San Diego,Oceanside,San Diego Association of Governments,San Diego Association of Governments,235 S. Tremont Ave.,33.191944,-117.379444,NCTD,NCTD,,,,,Hourly,,,,,Peak hour/direction,,5,1,3,Tunnel,Yes,Yes,Building,Yes,Yes,No,Yes,,Yes,Machines Available,Yes,6:15am - 11:15am,6:15am - 11:15am,1261,24,1285,City of Oceanside/NCTD/Oceanside Community Development Commission,8.881421262,12.61561911,20.18436064,4.007319821,45.68872083,,26,12,38,Yes,Fair,Yes,Good,No,Metrolink/COASTER,Yes,SPRINTER,Yes,No,,Yes (NCTD Sprinter Train and Breeze Buses),1000,4068.146328,14193.67485,56394.41662,3174,5832,25996,0.780207924,0.410887248,0.46096762,27.64469597,0.525167785,4,179,3,407,87,Very Walkable,,,,,,498,#N/A,1582,#N/A,7145.733418,36010.00372,4886,15994,0.503444914,0.638538456,0.837791495,0.6152485,https://www.pacificsurfliner.com/destinations/oceanside/,https://metrolinktrains.com/rider-info/general-info/stations/oceanside/,https://gonctd.com/services/transit-centers/,,https://www.greatamericanstations.com/stations/oceanside-ca-osd/,,
Fullerton,FUL,"LOSSAN, Southwest Chief","Pacific Surfliner, Amtrak Long Distance, Metrolink",,Active,,12,Orange,Fullerton,Southern California Association of Governments,Southern California Association of Governments,120 E. Santa Fe Ave.,33.868612,-117.9223,City of Fullerton,City of Fullerton,,,,,Hourly,,,,,,< Bi-hourly,4,,3,Bridge,,Yes,Building,Yes,Yes,No,Yes,,Yes,Machines Available,Yes,6:30am - 6:45pm,6:30am - 6:30pm,1321,9,1330,City of Fullerton,,7.860375457,6.046198266,,13.90657372,24.25902874,16,8,24,Yes,Good,Yes,Good,No,Metrolink,Yes,None,Yes,Maybe?,https://www.iteris.com/news/iteris-awarded-27-million-bus-rapid-transit-project-orange-county-transportation-authority,Yes (Orange County Transportation Authority Buses),380,7203.71341,24323.21986,232330.5925,8108,18779,103732,1.125530617,0.772060612,0.446484464,38.60344148,0.718120805,5,259,5,1103,92,Walker's Paradise,,,,,,556,#N/A,4129,#N/A,14547.68106,132147.4618,11096,65254,0.59809849,0.56879062,0.590872783,0.629063356,https://www.pacificsurfliner.com/destinations/fullerton/,https://metrolinktrains.com/rider-info/general-info/stations/fullerton/,,,https://www.greatamericanstations.com/stations/fullerton-ca-ful/,,
Corona - North Main,,,Metrolink,,Active,,8,Riverside,Corona,Southern California Association of Governments,Southern California Association of Governments,250 East Blaine Street,33.8822,-117.5634,Riverside County Transportation Commission,,,,,,,,,,,,,3,1,1,Bridge,,,Shelter,No,,,,,,Machines Available,,,,1386,21,1407,,,8.430350038,,,8.430350038,44.89043687,,,,Yes,Good,Yes,Good,No,,,,"Yes (City of Corona Cruiser & Dial-A-Ride, Riverside Transit Agency)",,,,380,2932.844878,16676.9237,133818.0514,7558,15811,71811,2.577020031,0.948076533,0.536631637,46.47801929,0.832214765,5,70,1,206,73,Very Walkable,,,,,,339,#N/A,2706,#N/A,6518.772709,88793.7872,9646,53012,0.390885803,0.663541176,0.610081589,0.738215594,https://metrolinktrains.com/rider-info/general-info/stations/corona---north-main/,,,,,,
Hazard Center,,MTS Trolley,MTS Trolley,,Active,,11,San Diego,San Diego,San Diego Association of Governments,San Diego Association of Governments,"Hazard Center Drive & Frazee Road San Diego, CA 92108",32.770278,-117.158056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500,,1500,,,,,,,,,,,,,,,,,,,,,,,,3778.906682,18646.77255,215517.7306,9527,26046,146489,2.521099567,1.396810087,0.679707417,18.23690891,0.246644295,,,,,79,Very Walkable,69,Bikeable,,,,,,,,,,,,,,,,,,,,,,
Montclair,,,Metrolink,,Active,,8,San Bernardino,Montclair,Southern California Association of Governments,Southern California Association of Governments,5091 Richton Street,34.094,-117.6962,City of Montclair,,,,,,,,,,,,,2,,2,Tunnel,,,Shelter,No,,,,,,Machines Available,,,,1600,32,1632,,5.91828454,14.4541031,8.259090653,,28.63147829,17.91402874,,,,Yes,Good,Yes,Fair,,,,,"Yes (Foothill Transit, Omnitrans)",,,,150,2834.12262,15208.73822,177699.8484,3470,13452,64285,1.224364809,0.884491521,0.361761704,43.44927523,0.786912752,4,66,5,823,64,Somewhat Walkable,,,,,,285,#N/A,3641,#N/A,6333.198729,117363.5034,5055,49033,0.416418419,0.660459221,0.375780553,0.76274403,https://metrolinktrains.com/rider-info/general-info/stations/montclair/,,,,,,
Irvine,IRV,LOSSAN,"Pacific Surfliner, Metrolink",,Active,,12,Orange,Irvine,Southern California Association of Governments,Southern California Association of Governments,15215 Barranca St.,33.6568,-117.7335,City of Irvine,City of Irvine,,,,,Hourly,,,,,,,2,,2,Bridge,,Yes,Building,Yes,Yes,No,Yes,,Yes,Machines Available,Yes,7:30am - 8:30pm,12:00am - 12:00am,1650,,1650,City of Irvine,,29.08115754,,,29.08115754,13.44772207,,27,27,Yes,Good,Yes,Fair,No,Metrolink,Yes,None,Yes,No,,"Yes (Orange County Transportation Authority Buses, iShuttle Buses)",100,103.331056,2206.373496,74570.30792,7447,26255,110401,72.06933023,11.8996172,1.480495429,7.975392534,0.026845638,1,13,6,184,30,Car-Dependent,,,,,,203,#N/A,2736,#N/A,171.1886049,25403.70392,8660,85556,0.077588226,0.340667816,0.329841935,0.774956749,https://www.pacificsurfliner.com/destinations/irvine/,https://metrolinktrains.com/rider-info/general-info/stations/irvine/,,,https://www.greatamericanstations.com/stations/irvine-ca-irv/,,
Norwalk Station,,Metro,Metro,,Active,,7,Los Angeles,Norwalk,Southern California Association of Governments,Southern California Association of Governments,,33.914033,-118.104717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1759,,1759,,,,,,,,,,,,,,,,,,,,,,,,7551.599089,32556.11168,273462.8625,1627,6873,105849,0.215451056,0.211112435,0.387069012,45.80314056,0.817114094,,,,,52,Somewhat Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Cosumnes River College,,SacRT,SacRT,,Active,,3,Sacramento,Sacramento,Sacramento Area Council of Governments,Sacramento Area Council of Governments,,38.453667,-121.418333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,2016,SacRT,,,,,,,,,,,,,,,,,,,,,,,2732.162771,20471.32316,173803.4779,1082,6215,41913,0.396023257,0.303595422,0.241151676,28.61356652,0.536912752,,,,,58,Somewhat Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Union Station - Metro Gold Line,,Metro,Metro,,Active,,7,Los Angeles,Los Angeles,Southern California Association of Governments,Southern California Association of Governments,,34.056061,-118.234759,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,2200,,,,,,,,,,,,,,,,,,,,,,,,13332.0093,40909.52811,424037.6884,39382,171888,458277,2.953943334,4.201661763,1.080745916,49.54751435,0.869127517,,,,,86,Very Walkable,,,,,,,,,,,,,,,,,,,,,,,,
Union Station - Metro Red & Purple Lines,,Metro,Metro,,Active,,7,Los Angeles,Los Angeles,Southern California Association of Governments,Southern California Association of Governments,,34.056197,-118.234249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2200,,2200,,,,,,,,,,,,,,,,,,,,,,,,13301.20852,40052.91819,421531.0064,10141,167876,456782,0.762411925,4.191355027,1.083626099,49.91943758,0.879194631,,,,,86,Very Walkable,,,,,,,,,,,,,,,,,,,,,,,,
San Rafael,,SMART,SMART,,Active,,4,Marin,San Rafael,Metropolitan Transportation Commission,Metropolitan Transportation Commission,680 3rd Street,37.970833,-122.5225,,,,,,,,,,Hour,,,,2,,2,Grade,Yes,,Shelter,No,No,,,,,Machines Available,,,,,,,,0.31168384,4.921831717,,,5.233515558,,10,4,14,Yes,Fair,Yes,Good,No,No,No,No,Yes,,,"Golden Gate Transit, Marin Transit, Sonoma County Transit",375,4254.471329,17461.06475,83100.91258,8601,13738,54123,2.021637786,0.786779054,0.651292487,15.60906342,0.166107383,7,335,1,596,97,Walker's Paradise,,,,,,447,#N/A,2325,#N/A,10896.221,55004.04247,12586,32583,0.624029586,0.661894566,0.916144999,0.602017627,https://www.sonomamarintrain.org/stations,,,,,,
Carlsbad Village,,Coaster,Coaster,,Active,,11,San Diego,Carlsbad,San Diego Association of Governments,San Diego Association of Governments,2775 State Street,33.160919,-117.350833,NCTD,,,,,,,,,,,Peak hour/direction,,1,,1,Grade,Yes,,Shelter,,,,,,,,,,,,,,,1.635253987,20.77083163,5.64374983,,28.04983544,,16,4,20,Yes,Good,Yes,Good,,,,,Yes (NCTD),,,,70,3559.425004,11296.60245,65898.44299,4885,7684,35197,1.372412677,0.680204516,0.534109736,14.28591808,0.125838926,7,133,3,421,93,Walker's Paradise,,,,,,278,#N/A,1690,#N/A,6834.007944,44470.39344,6840,18788,0.604961357,0.674832233,0.890161374,0.533795494,https://gonctd.com/services/transit-centers/,,,,,,
San Francsico 4th and King,SFK,,"Caltrain, Muni",,Active,,4,San Francisco,San Francisco,Metropolitan Transportation Commission,Metropolitan Transportation Commission,700 4th St.,37.776389,-122.394444,,,PCJPB,,,,,Peak hour/direction,,,,,,13,6,1,Grade*,Yes,,Building,,,,,Yes,,8 Machines,,,,,,,,0.498988935,14.64569855,10.85665262,,26.00134011,,,,,Yes,Good,Yes,Good,,Yes,,,Yes,,,,470,11123.83237,45245.22553,409014.9049,36076,186517,623513,3.243126901,4.122357615,1.524426109,23.04392056,0.389261745,25,1367,23,5176,93,Walker's Paradise,,,,,,530,#N/A,4189,#N/A,26614.33082,316195.4792,115249,594557,0.588224072,0.773065909,0.617900781,0.95355991,https://www.caltrain.com/stations/sanfranciscostation.html,,,,,,
San Diego - Santa Fe,SAN,"LOSSAN, Coaster","Pacific Surfliner, Coaster",,Active,,11,San Diego,San Diego,San Diego Association of Governments,San Diego Association of Governments,1050 Kettner Blvd.,32.716667,-117.169444,Catellus Development Corporation,Catellus Development Corporation,,,,,Hourly,,,,,Peak hour/direction,,6,2,2,Grade,Yes,Yes,Building,Yes,Yes,No,Yes,,Yes,Machines Available,Yes,5:15am - 1:00am,3am-1am,,,,NA,6.772404215,7.678827721,23.86398476,8.97987596,47.29509265,61.18352213,,8,,Yes,Good,Yes,Good,No,COASTER,Yes,MTS,Yes,Yes,https://www.sandag.org/index.asp?classid=13&subclassid=9&projectid=393&fuseaction=projects.detail,Yes* (MTS),400,9969.68875,27960.89903,162806.7299,30717,72314,156062,3.081039014,2.586254467,0.958572168,21.24848551,0.338926174,13,822,4,1274,92,Walker's Paradise,,,,,,467,#N/A,3807,#N/A,22982.14157,98781.93914,63438,128600,0.821938577,0.606743586,0.877257516,0.824031475,https://www.pacificsurfliner.com/destinations/san-diego-santa-fe-depot/,https://gonctd.com/services/transit-centers/,,,https://www.greatamericanstations.com/stations/san-diego-ca-san/,,
Encinitas,,Coaster,Coaster,,Active,,11,San Diego,Encinitas,San Diego Association of Governments,San Diego Association of Governments,25 East D Street,33.0471,-117.293183,NCTD,,,,,,,,,,,Peak hour/direction,,1,,1,Grade,Yes,,Shelter,,,,,,,,,,,,,,,2.098467026,12.85873929,5.331799706,5.809135873,26.09814189,1.428934906,12,26,38,Yes,Good,Yes,Good,,,,,Yes (NCTD),,,,700,3284.779921,10375.01249,60132.2,3756,10023,25350,1.143455602,0.966071126,0.421571138,10.29022047,0.052013423,2,53,1,218,91,Walker's Paradise,,,,,,282,#N/A,1522,#N/A,6846.393129,40012.28676,6253,20010,0.659892519,0.665405336,0.62386511,0.789349112,https://gonctd.com/services/transit-centers/,,,,,,
Stanford,STF,,Caltrain,,Active,,4,Santa Clara,Palo Alto,Metropolitan Transportation Commission,Metropolitan Transportation Commission,100 Embarcadero Rd.,37.438611,-122.156667,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,2,Tunnel,No,,None,,,,,,,,,,,,,,,4.483841936,26.90200746,19.52622104,,50.91207043,,,,,Yes,Fair,Yes,Fair,,Yes,,,No,,,,N/A,5873.947149,23006.50259,147177.9387,11542,30477,129079,1.96494788,1.324712432,0.877026823,7.615808154,0.025167785,2,202,3,1503,91,Walker's Paradise,,,,,,589,#N/A,3319,#N/A,14476.16075,120088.7188,26356,107283,0.629220399,0.815942389,0.864783279,0.831142169,https://www.caltrain.com/stations/stanfordstation.html,,,,,,
Santa Rosa Downtown,,SMART,SMART,,Active,,4,Sonoma,Santa Rosa,Metropolitan Transportation Commission,Metropolitan Transportation Commission,7 4th Street,38.4377,-122.7218,,,,,,,,,,Hour,,,,2,1,,Grade,Yes,,Shelter,No,No,,,,,Machines Available,,,,,,,,2.058878695,2.13917977,2.126112753,,6.324171218,,10,12,22,Yes,Good,Yes,Fair,No,No,No,No,Yes,,,"Golden Gate Transit, Santa Rosa CityBus, Sonoma County Transit",700,4741.045852,21677.76333,138461.8929,4204,14694,67551,0.886724181,0.677837458,0.487867085,29.04965519,0.546979866,13,195,6,662,89,Very Walkable,,,,,,482,#N/A,2950,#N/A,13343.87362,105473.9811,9557,55063,0.615555831,0.76175458,0.650401524,0.81513227,https://www.sonomamarintrain.org/stations,,,,,,
Redlands - Downtown,,,Metrolink,,Planned,,8,San Bernardino,Redlands,Southern California Association of Governments,Southern California Association of Governments,Stuart Avenue,34.059074,-117.184517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3322.11156,18455.47257,74465.4185,4525,11782,37449,1.362085504,0.638401426,0.50290458,36.33264808,0.684563758,6,149,0,284,88,Very Walkable,,,,,,436,0.63559322,1849,#N/A,11309.51275,59983.11094,10115,32058,0.612799954,0.805516334,0.858512986,0.85604422,,,,,,,
San Carlos,SCS,,Caltrain,,Active,,4,San Mateo,San Carlos,Metropolitan Transportation Commission,Metropolitan Transportation Commission,599 El Camino Real,37.508056,-122.257778,,,PCJPB,,,,,Peak hour/direction,,,,,,2,,2,Tunnel,Yes*,,Shelter,,,,,,,4 Machines,,,,,,,,10.31110915,8.26877682,31.94677099,,50.52665696,,36,48,,Yes,Good,Yes,Fair,,Yes,,,Yes (Samtrans),,,,700,4251.132024,14164.97333,133388.8895,7034,19613,80215,1.654618102,1.384612561,0.60136193,16.04573427,0.177852349,6,75,4,539,87,Very Walkable,,,,,,341,#N/A,3184,#N/A,7824.706377,83371.88852,11428,70096,0.552398243,0.625028732,0.582674757,0.873851524,https://www.caltrain.com/stations/sancarlosstation.html,,,,,,
Windsor,,,SMART,,Planned,,4,Sonoma,Windsor,Metropolitan Transportation Commission,Metropolitan Transportation Commission,,38.5477,-122.8171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3489.506376,12881.23244,29434.92649,2427,4255,14218,0.695513846,0.330325535,0.483031612,19.31416808,0.283557047,2,24,1,41,83,Very Walkable,,,,,,358,0.423728814,800,#N/A,6556.827248,23717.2852,3319,7711,0.509021732,0.805753166,0.780023502,0.542340695,https://www.sonomamarintrain.org/stations,,,,,,
Antioch-Pittsburg,ACA,SJJPA,San Joaquins,,Active,,4,Contra Costa,Antioch,Metropolitan Transportation Commission,Metropolitan Transportation Commission,"Foot of ""I"" Street",38.017975,-121.817031,City of Antioch,City of Antioch,,,,Bi-hourly,,,,,,,,1,,1,N/A,,Yes,Shelter,No,No,No,No,,Yes,0 Machines,No,NA,NA,,,,NA,,2.996843209,,,2.996843209,,,,,Yes,Fair,Yes,Good,No,None,No,None,Yes,No (discussed as future possibility),http://itsbayarea.mtc.ca.gov/html/stakeholders/sh80.html,No,100,1665.878174,7744.323059,66082.66235,1142,3239,18827,0.685524318,0.41824185,0.284900749,40.67110569,0.755033557,1,71,6,154,80,Very Walkable,,,,Opportunity Identified,https://sjjpa.com/wp-content/uploads/2020-SJJPA-Business-Plan-Update_Final-1.pdf,253,0.245762712,1880,#N/A,4506.055381,49566.54936,1487,12388,0.581852713,0.750068892,0.459092312,0.657991183,https://amtraksanjoaquins.com/stations-schedules/antioch-pittsburg/,,,,https://www.greatamericanstations.com/stations/antioch-pittsburg-ca-aca/,,
Healdsburg,,,SMART,,Planned,,4,Sonoma,Healdsburg,Metropolitan Transportation Commission,Metropolitan Transportation Commission,,38.607,-122.8655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2122.296424,6273.994009,13518.32246,2350,5011,7397,1.107291127,0.798693781,0.547183278,18.78476123,0.260067114,0,26,1,46,77,Very Walkable,,,,,,209,#N/A,487,#N/A,4301.954035,11235.59066,4643,6797,0.685680291,0.831137939,0.926561565,0.918886035,https://www.sonomamarintrain.org/stations,,,,,,
Navato Downtown,,SMART,SMART,,Active,,4,Marin,Novato,Metropolitan Transportation Commission,Metropolitan Transportation Commission,695 Grant Avenue,38.1063,-122.5647,,,,,,,,,,Hour,,,,1,,1,Grade,Yes,,Shelter,No,No,,,,,Machines Available,,,,,,,,1.036578944,27.19845742,1.533948348,,29.76898471,,,,,Yes,Good,Yes,Good,No,No,No,No,Yes,,,"Golden Gate Transit, Marin Transit",2090,3101.143072,12250.2625,45531.81969,2488,6087,15017,0.802284816,0.496887312,0.329813306,12.7696685,0.093959732,3,72,2,138,76,Very Walkable,,,,,,379,0.491525424,1283,#N/A,7257.164396,34429.64895,4192,11749,0.592408889,0.756166768,0.688680795,0.782379969,https://www.sonomamarintrain.org/stations,,,,,,
College Park,CPK,,Caltrain,,Active,,4,Santa Clara,San Jose,Metropolitan Transportation Commission,Metropolitan Transportation Commission,780 Stockton Ave.,37.342778,-121.915556,,,PCJPB,,,,,Peak hour/direction,,,,,,5,1,1,Grade,No,,Shelter,,,,,,,1 Machine,,,,,,,,2.830488174,2.319136439,13.56190318,,18.71152779,,,,,Yes,Good,No,Poor,,Yes,,No,No,,,,N/A,3492.863606,17167.11041,226811.4696,8117,33693,217699,2.32388118,1.962648297,0.959823594,26.41427338,0.486577181,5,99,9,1373,75,Very Walkable,,,,,,454,#N/A,3987,0.923728814,9298.452373,160841.9012,9874,163163,0.541643419,0.709143596,0.293057905,0.749488973,https://www.caltrain.com/stations/collegeparkstation.html,,,,,,
Placentia Station,,,Metrolink,,Planned,,12,Orange,Placentia,Southern California Association of Governments,Southern California Association of Governments,,33.8684,-117.8726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7513.852091,23671.62738,193656.3109,2569,14856,114967,0.341901859,0.627586763,0.593665135,37.61145849,0.706375839,1,122,6,764,75,Very Walkable,,,,,,522,#N/A,4211,#N/A,14284.7892,125967.3883,5905,80847,0.603456153,0.650468801,0.397482499,0.703219185,,,,,,,
